500;Nocturne in F Minor, Op. 55 No. 1;Frédéric Chopin; 1. Andante;Nocturne;https://open.spotify.com/track/6VMWXN7b7HXoVgSkaAkBmo;not available
500;Waltzes, Op. 69: No. 2 in B Minor;Frédéric Chopin; Waltzes;Waltz;https://open.spotify.com/track/25nvL4BvSfDaen74O1MHzB;not available
500;24 Préludes, Op.28: 4. In E Minor;Frédéric Chopin;Chopin Gold;not found;https://open.spotify.com/track/5Zp7wNLFNU5IfjPwwcfjaY;not available
500;Andante Spianato & Grande Polonaise Brillante In G Major / E Flat Major, Op. 22: Andante spianato. Tranquillo - Semplice;Frédéric Chopin; Works For Piano & Orchestra;Polonaise;https://open.spotify.com/track/77NekodNyroWPGaBEEQ9dU;not available
500;Mazurka No. 49 In A Minor, Op. 68 No. 2: Lento;Frédéric Chopin; Valses et Mazurkas;Mazurka;https://open.spotify.com/track/2f97krxlCHjSY492EeINXg;not available
500;Ballade No. 1 in G Minor, Op. 23;Frédéric Chopin;" Ballades; Barcarolle; Fantaisie";Ballade;https://open.spotify.com/track/5Ks5ENUFNQDfaqxjZnCkVJ;not available
500;Waltz in E-Flat Major, KK IVa No. 14;Frédéric Chopin; Waltzes;Waltz;https://open.spotify.com/track/4gbCLJGKm5FTsQK6RwwVT9;not available
500;Mazurkas, Op. 24: No. 1 in G Minor. Lento;Frédéric Chopin; No. 1 in G Minor. Lento (Musical Moments);Mazurka;https://open.spotify.com/track/1Y43pIQQgxxSU3CxA39qRV;not available
500;Nocturnes, Op. 27: No. 2 in D Flat Major. Lento sostenuto;Frédéric Chopin; No. 2 in D Flat Major. Lento sostenuto;Nocturne;https://open.spotify.com/track/6t8rMvciK1ly5utKCeAcvN;not available
500;"24 Preludes, Op. 28: No. 15 in D Flat Major. Sostenuto ""Raindrop""";Frédéric Chopin;" No. 15 in D Flat Major. Sostenuto ""Raindrop""";Prelude;https://open.spotify.com/track/16lscXk0JZ078EVRAIN7Bs;not available
500;Nocturne No. 2 in E-Flat Major, Op. 9 No. 2;Frédéric Chopin; Nocturnes;Nocturne;https://open.spotify.com/track/1VNvsvEsUpuUCbHpVop1vo;not available
500;Nocturne in C-Sharp Minor, KK IVa No. 16;Frédéric Chopin; Waltzes;Nocturne;https://open.spotify.com/track/7jiNeBor8vSspNduw8adAu;not available
500;Nocturne No. 1 in B-Flat Minor, Op. 9 No. 1;Frédéric Chopin; The Nocturnes;Nocturne;https://open.spotify.com/track/32JpzAxaRAnhyEqJ0l3HTY;not available
450;The Magic Flute, K. 620, Act II: Pa-Pa-Pa-Pa-Pa-Pa-Papagena!;Wolfgang Amadeus Mozart; Zauberflöte (Die) (The Magic Flute);not found;https://open.spotify.com/track/6KDi5XMkVPpkGEr4nGABNE;https://p.scdn.co/mp3-preview/0a74d3fbe67eee0a092db64b87cd16f9112ab5d2?cid=1527d940d1344d9399fee05857032bf5
450;"Schwanengesang, D. 957: Ständchen ""Leise flehen meine Lieder""";Franz Schubert; Songs without Words;Lied;https://open.spotify.com/track/6Gifhuvyk4uPDGSRrtw8Y6;not available
450;The Magic Flute, K. 620: Overture;Wolfgang Amadeus Mozart; Zauberflöte (Die) (The Magic Flute);Overture;https://open.spotify.com/track/2XRZPj0hi4P5rEfkXPcnmT;https://p.scdn.co/mp3-preview/fddcd62dc3b832b0405ac142d690f267d3bd9593?cid=1527d940d1344d9399fee05857032bf5
450;21 Hungarian Dances, WoO 1 (version for orchestra): Hungarian Dance No. 5 (orch. Schmeling);Johannes Brahms; Hungarian Dances Nos. 1-21;Dance;https://open.spotify.com/track/2SvULYdmPes23yZQYeLkXV;https://p.scdn.co/mp3-preview/473e349ca2ef8e174bd5dd2555a488484a3258a2?cid=1527d940d1344d9399fee05857032bf5
450;"Serenade In G, K.525 ""Eine kleine Nachtmusik"": 4. Rondo (Allegro)";Wolfgang Amadeus Mozart; Eine Kleine Nachtmusik;Serenade;https://open.spotify.com/track/6qq4zxn0y78RQGZybqd6BV;not available
450;"Symphony No. 35 in D Major, K. 385 ""Haffner"": IV. Finale (Presto) - Live";Wolfgang Amadeus Mozart;" Symphonies Nos.35 ""Haffner"" & 41 ""Jupiter""";Symphony;https://open.spotify.com/track/41urJjEVSuP5iNv9JTgSpC;not available
450;Paganini: 24 Caprices, Op. 1: No. 24 in A Minor;Niccolò Paganini; 24 Caprices;Caprice;https://open.spotify.com/track/6cC6h5E351deEGFd7Kh9uy;https://p.scdn.co/mp3-preview/484f23bbedb5ae024b2c5e4a06a4f0523bfe5b7d?cid=1527d940d1344d9399fee05857032bf5
450;Piano Concerto No. 20 in D Minor, K. 466: III. Rondo. Allegro assai (Cadenza Beethoven);Wolfgang Amadeus Mozart; III. Rondo. Allegro assai (Cadenza Beethoven);Piano concerto;https://open.spotify.com/track/72AZoNJYTSrmlxyCcCbAL2;not available
450;"Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": II. Andante";Wolfgang Amadeus Mozart;" Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile""";Piano sonata;https://open.spotify.com/track/38Qwb1aOYQEG0vNOswq3D2;not available
450;Die Entführung aus dem Serail, K. 384: Ouvertüre;Wolfgang Amadeus Mozart; Overtures;not found;https://open.spotify.com/track/5z0x1klVdvofC4oCbMEvnO;not available
450;16 Waltzes, Op. 39: No. 15 In A Flat Major;Johannes Brahms;Hungarian Dances / Waltzes, Op. 39;Waltz;https://open.spotify.com/track/7ouW02587AzIaGnK0gh8St;https://p.scdn.co/mp3-preview/bb7585223ce897916c5b811eda3c8c46a62e5890?cid=1527d940d1344d9399fee05857032bf5
450;Piano Sonata No. 12 in F Major, K. 332: II. Adagio;Wolfgang Amadeus Mozart; Piano Sonatas K.309, K.332 & K.570;Piano sonata;https://open.spotify.com/track/0ftAOThcYwpSDapJhDOy7o;not available
450;Die Entführung aus dem Serail, K. 384: Martern aller Arten (Arr. Spindler for Oboe and Piano);Wolfgang Amadeus Mozart; Martern aller Arten (Arr. Spindler for Oboe and Piano);not found;https://open.spotify.com/track/0teOo0hPfXHlKHLLahYurA;not available
450;Ein musikalischer Spass, K. 522: IV. Presto;Wolfgang Amadeus Mozart; The Wind Concertos / Serenades / Divertimenti;not found;https://open.spotify.com/track/0QnYqbwMFLxPypDBA8QdeT;not available
450;Requiem in D Minor, K. 626: Lacrimosa (Arr. Spindler for Oboe and Piano);Wolfgang Amadeus Mozart; Lacrimosa (Arr. Spindler for Oboe and Piano) [Musical Moments];Requiem;https://open.spotify.com/track/1EXTkdvUOTzAuWxtVcDFLV;not available
450;Gaspard de la nuit, M. 55: I. Ondine;Maurice Ravel;Nightfall;not found;https://open.spotify.com/track/3ycHHOnqsOYRMx7nCABugk;not available
450;Die Walküre, WWV 86B - Concert version / Act 3: The Ride Of The Walkyres;Richard Wagner; Orchestral Music;not found;https://open.spotify.com/track/1Ch1iIrQOlGNI06cvStbvj;not available
450;Peer Gynt Suite No. 1, Op. 46: IV. In the Hall of the Mountain King;Edvard Grieg;" Peer Gynt Suites Nos.1 & 2; From Holberg's Time; Sigurd Jorsalfar";Suite;https://open.spotify.com/track/7zgyP2YfSSXlbo1y8HQaSD;not available
450;Carmen: Prélude;Georges Bizet; Carmen;not found;https://open.spotify.com/track/6S543TcFIFPO8u7aiznEPV;not available
450;The Planets, Op. 32: IV. Jupiter, the Bringer of Jollity;Gustav Holst; Also sprach Zarathustra;not found;https://open.spotify.com/track/3YUJZpi8PqhPWzT0SH6gaK;not available
450;The Planets, Op. 32: I. Mars, the Bringer of War;Gustav Holst; Also sprach Zarathustra;not found;https://open.spotify.com/track/0dXrZ47LxK2PHm4mjSlwgt;not available
450;Also sprach Zarathustra, Op. 30, TrV 176: Von den Hinterweltlern;Richard Strauss;" Also sprach Zarathustra; Till Eulenspiegel; Don Juan; Salome's Dance Of The Seven Veils";not found;https://open.spotify.com/track/5oiNWu69Hw91ykvX70BSkE;not available
450;Piano Concerto in A Minor, Op. 54: 3. Allegro vivace;Robert Schumann; Piano Concerto Op.42;Piano concerto;https://open.spotify.com/track/0nqqzYjFaGznRKB8y05aId;not available
450;Tritsch-Tratsch-Polka, Op. 214;Johann Strauss II;" Emperor Waltz; Tritsch-Tratsch-Polka; Roses From The South; The Gypsy Baron (Overture); Annen Polka; Wine, Women And Song; Hunting Polka";not found;https://open.spotify.com/track/2KtMRBqMBNBBCD1C9oA1WZ;not available
450;Boléro - Excerpt;Maurice Ravel;Best of Classical - Die 50 größten Werke der Klassik;not found;https://open.spotify.com/track/6Z3mqM8JmjgZk3cber7vwv;not available
450;"Johannes-Passion, BWV 245 / Part One: No. 1 ""Herr, unser Herrscher""";Johann Sebastian Bach;" 1. ""Herr, unser Herrscher""";not found;https://open.spotify.com/track/3dov4IalFQYznByFWcXpq7;not available
450;The Well-Tempered Clavier, Book 2, BWV 870-893 / Prelude & Fugue in D Major, BWV 874: I. Prelude;Johann Sebastian Bach; The Well-Tempered Clavier, Book 2, BWV 870-893;Fugue;https://open.spotify.com/track/4e4zwo6lA7z3BPxx8MmSoF;not available
450;Trio Sonata No. 1, BWV 525: I. (Allegro moderato) (Transcr. Kurtág) - Upright Piano;Johann Sebastian Bach; I. (Allegro moderato) (Transcr. Kurtág);Sonata;https://open.spotify.com/track/7guOIHeFJYxZyw6x53mURS;not available
450;Schubert: String Quintet in C Major, Op. 163, D. 956: II. Adagio;Franz Schubert; String Quintet, Op. 163 & Lieder;Quintet;https://open.spotify.com/track/25mDxI046ioWDZZgSF2MYT;https://p.scdn.co/mp3-preview/3dbb6890c72c229ed233fa0c3617283809ac181b?cid=1527d940d1344d9399fee05857032bf5
450;Symphony No. 5 In B Flat, D.485: I. Allegro;Franz Schubert; Symphony No.4;Symphony;https://open.spotify.com/track/5lhSgRzSBQh0CsGOt4TUAh;not available
450;Schubert: Piano Sonata No. 20 in A Major, D. 959: II. Andantino;Franz Schubert; II. Andantino;Piano sonata;https://open.spotify.com/track/0WuNhZkCPvfq1J9xtL4Yrz;not available
450;Die Forelle, Op. 32, D. 550;Franz Schubert; Lieder;not found;https://open.spotify.com/track/7lCqzDWT6GPECGp0TzMnR7;not available
450;4 Impromptus, D. 899, Op. 90: No. 3 in G-Flat Major;Franz Schubert; Impromptus, D. 899 (Op. 90) & D. 935 (Op. 142);Impromptu;https://open.spotify.com/track/5nyjJE5icW9rkqFGTZVhYR;https://p.scdn.co/mp3-preview/dfd6cb6ac2e1f624dc12bad0e5c25eea93da34c2?cid=1527d940d1344d9399fee05857032bf5
450;"Grandes Études de Paganini, S. 141: No. 3 in G-Sharp Minor ""La Campanella""";Franz Liszt;Transcendental - Daniil Trifonov Plays Franz Liszt (Etudes S. 139, S. 141, S. 144, S. 145);not found;https://open.spotify.com/track/5XBWQDLsTWj9uoVeKG2uuo;not available
450;Consolations, S. 172: No. 3 in D-Flat Major. Lento placido;Franz Liszt; No. 3 in D-Flat Major. Lento placido;not found;https://open.spotify.com/track/5HMB40txXdGhVcPH5QxibE;not available
450;Piano Sonata No.20 In A Major, D.959: 3. Scherzo (Allegro vivace);Franz Schubert; Piano Sonata No.20 In A Major, D.959, 3. Scherzo (Allegro vivace);Piano sonata;https://open.spotify.com/track/1odWxOXPWNckh8DGik1bVy;not available
450;"Symphony No.8 In B Minor, D.759 - ""Unfinished"": 1. Allegro moderato";Franz Schubert;" Symphonies Nos.3 & 8 ""Unfinished""";Symphony;https://open.spotify.com/track/1ev0w7RxxeduSGZfWG8XVj;not available
450;Fantasy in F Minor, D. 940 (Op. 103) For Piano Duet;Franz Schubert; Works for Piano Duet and Piano Solo;Fantasy;https://open.spotify.com/track/6pWoP3mTpvxst9VrBKsCYg;not available
450;Erlkönig, D. 328 (Adapt. for Cello and Orchestra);Franz Schubert; Erlkönig, D. 328 (Adapt. for Cello and Orchestra);not found;https://open.spotify.com/track/1q83jnh3bp7SCe0un8leeX;not available
450;Symphony No. 5 in B-Flat Major, D. 485: II. Andante con moto;Franz Schubert;" 8 Symphonies; Rosamunde; Grand Duo";Symphony;https://open.spotify.com/track/3Ru6k46VJpuMUh7lukQLVG;not available
450;Schwanengesang, D. 957: IV. Ständchen in D Minor (Arr. for Violin and Piano);Franz Schubert; Forellenquintett - Trout Quintet;not found;https://open.spotify.com/track/6aANvQTjMgtOlCAaHlYcyn;not available
450;4 Impromptus, Op. 90, D. 899: No. 3 in G-Flat Major: Andante;Franz Schubert; Impromptus D. 899 & D. 935;Impromptu;https://open.spotify.com/track/29MPCaJXtOFrsaG8ZnYfOQ;not available
450;"Ellens Gesang III, Op. 52, No. 6, D. 839 ""Ave Maria""";Franz Schubert;" Ellens Gesang III, Op. 52, No. 6, D. 839 ""Ave Maria"" (Musical Moments)";not found;https://open.spotify.com/track/1QM9jOyHPD5EoSKXwIulEr;not available
450;Valses nobles, D 969 (Op. 77): Valse No. 3;Franz Schubert; Schubert for Two;not found;https://open.spotify.com/track/0xHvtFh7LhQm2s5LLitmdQ;not available
450;Die Forelle, Op. 32, D. 550;Franz Schubert; Lieder;not found;https://open.spotify.com/track/4SzHTVtS9VafclBnJR8yK1;not available
450;Litanei auf das Fest Allerseelen, D. 343 - Live;Franz Schubert; Litanei auf das Fest Allerseelen, D. 343 (Live);not found;https://open.spotify.com/track/3TVuuioPLLDEZy8jn8yBOZ;not available
